abound,abounds,,,,,
about,,,,,,
above,,,,,,
absent,,,,,,
accept,acept,accepted,acepted,accepts,acepts,
account,acount,accounted,accounts,,,
achieve,acheived,achieved,,,,
acid,,,,,,
across,accross,acros,,,,
action,actioned,actions,,,,
address,adress,,,,,
admit,addmit,admitted,admited,admits,addmits,admitts
advance,advanse,advanced,advansed,,,
advice,adviced,,,,,
afraid,,,,,,
after,,,,,,
again,agin,,,,,
agent,agents,,,,,
agree,agreed,,,,,
aim,aims,aimed,,,,
allow,alow,allowed,allows,,,
almost,allmost,,,,,
alone,aloan,,,,,
amend,ammend,amended,ammended,,,
among,amung,,,,,
ancient,ansient,,,,,
and,,,,,,
answer,anser,answered,ansered,answers,ansers,
apart,,,,,,
appeal,apeal,apeel,appealed,apealed,apeeled,
appear,apear,appeer,appeared,apeared,appeered,
approach,approch,aproach,approached,aproached,,
arm,armed,arms,,,,
around,,,,,,
arrive,arived,arrived,arive,,,
art,,,,,,
artist,,,,,,
ascent,asent,acent,assent,,,
aside,asside,,,,,
assign,asign,assigned,asigned,,,
assume,asume,assumed,asumed,,,
assure,asured,assured,asure,,,
attack,attak,atack,attacked,atacked,attaked,
attempt,atempt,attempted,attempts,atempts,,
attend,atend,attended,atended,,,
avoid,avoided,avoids,,,,
award,awarded,awards,,,,
aware,awear,,,,,
away,,,,,,
bad,,,,,,
balance,balanse,balanced,,,,
band,bands,banded,,,,
bank,banks,banked,,,,
bar,barr,bars,barrs,,,
basement,basemeant,,,,,
basket,baskets,,,,,
bat,batt,batts,bats,,,
beat,beet,beets,beats,,,
became,,,,,,
because,,,,,,
become,becomes,,,,,
beer,beers,,,,,
before,,,,,,
began,,,,,,
begin,begins,,,,,
begun,,,,,,
behind,,,,,,
belief,beleif,beliefs,,,,
believe,beleived,believed,,,,
below,,,,,,
beneath,beneeth,,,,,
beside,,,,,,
betray,betraid,betrayed,,,,
between,,,,,,
beyond,,,,,,
birth,births,birthed,,,,
boasting,bosting,,,,,
bolder,boulder,boulders,bolders,,,
both,,,,,,
bottle,botle,bottled,bottles,botles,,
breakfast,brekfast,,,,,
broken,,,,,,
brought,brot,,,,,
budget,bujet,budgets,budgeted,bujets,bujeted,
bush,,,,,,
but,,,,,,
butcher,bucher,butchers,,,,
campaign,campain,campaigns,,,,
can,,,,,,
captain,captin,captins,captains,,,
career,carear,careers,carears,,,
carpet,carpeted,carpets,,,,
cash,cache,,,,,
catch,katch,,,,,
cattle,cattel,cattles,cattels,,,
cause,causes,cauzes,caused,cauze,,
center,centered,sentered,,,,
chain,chained,chains,,,,
cheap,cheep,,,,,
cheer,chair,,,,,
chosen,chosin,,,,,
clamp,clamped,clamps,,,,
class,classed,,,,,
clear,cleared,,,,,
closer,,,,,,
cloud,clouds,,,,,
coast,coasts,,,,,
coke,cokes,,,,,
command,comand,commands,comands,commanded,comanded,
commit,comit,commits,comits,commited,,
compare,compared,compear,compair,compares,,
complete,compleat,completed,,,,
conceive,conseived,concieved,conceived,,,
concept,consept,,,,,
concern,conserned,concerned,consern,,,
conduct,conducted,conducts,,,,
confuse,confused,,,,,
connect,conect,connected,connects,,,
constant,,,,,,
contain,contaned,contained,,,,
contract,contracts,,,,,
control,controlled,controls,,,,
cool,kul,cooled,,,,
could,,,,,,
create,created,creates,,,,
crown,krown,crowns,crowned,krowns,krowned,
culture,cultures,cultured,,,,
darker,,,,,,
daughter,daughters,,,,,
debate,debates,debated,,,,
deep,,,,,,
deeper,deaper,,,,,
defeat,defeet,defeated,defeeted,,,
defend,defended,defends,,,,
define,defined,defines,,,,
degree,degrees,,,,,
delight,delite,delights,delighted,delites,,
demand,demanded,demands,,,,
denote,denotes,,,,,
depend,depended,depends,,,,
derive,derived,,,,,
desire,desired,desires,,,,
despite,dispite,,,,,
detail,detale,,,,,
device,devices,,,,,
did,,,,,,
direct,derect,directed,directs,derects,,
distant,,,,,,
divide,devide,divided,devided,divides,devides,
dock,doc,dok,docs,doks,docks,
done,dun,,,,,
double,duble,doubled,dubled,,,
drain,drane,drains,drained,draned,,
drawn,,,,,,
driving,,,,,,
drove,,,,,,
during,,,,,,
each,,,,,,
earring,earing,earings,earrings,,,
eaten,,,,,,
effect,efect,effects,efects,effected,efected,
embark,embarked,,,,,
enjoy,enjoied,enjoyed,,,,
enter,entered,,,,,
equal,equaled,equals,,,,
escape,escapes,escaped,,,,
estate,estates,,,,,
event,events,,,,,
exam,exams,examed,,,,
excess,exess,exces,,,,
exchange,exchanged,exchanges,,,,
exist,exists,,,,,
extend,extends,extended,,,,
extent,,,,,,
extreme,ekstreme,extreem,,,,
factor,faktor,factored,factors,,,
fairly,,,,,,
fame,phame,fames,phames,famed,phamed,
farther,,,,,,
fashion,fashon,,,,,
fear,feer,fair,,,,
feature,feeture,featured,features,,,
feeling,feelings,,,,,
field,fields,feilds,,,,
figure,figures,figured,,,,
final,finals,,,,,
find,finds,,,,,
finest,phinest,,,,,
finger,fingers,,,,,
flower,flowers,flours,flour,,,
focus,focused,,,,,
follow,folow,followed,follows,,,
force,forced,,,,,
forget,forgets,,,,,
form,forms,,,,,
fort,forts,,,,,
fortune,fortine,fortunes,,,,
frame,framed,frames,,,,
friendly,friendly,frendly,friendli,,,
from,,,,,,
function,functions,,,,,
future,fuchure,,,,,
game,games,,,,,
garden,gardens,gardened,,,,
gear,geer,geared,geered,,,
goal,goals,,,,,
good,goods,,,,,
grade,graid,grades,graded,graided,,
great,grate,,,,,
ground,grounds,grounded,,,,
guest,guests,gests,gest,,,
had,,,,,,
handle,handel,handles,handled,handels,handeled,
harmful,,,,,,
head,headed,,,,,
hearing,herring,heering,,,,
heat,heet,,,,,
her,hur,,,,,
higher,hire,,,,,
his,,,,,,
hold,,,,,,
hole,holes,wholes,whole,,,
housing,,,,,,
hundred,hundreds,100,,,,
ideal,,,,,,
improve,improov,improved,improves,,,
in,,,,,,
increase,increese,increased,increases,,,
indeed,,,,,,
inform,informed,,,,,
inside,,,,,,
instead,insted,,,,,
intense,intence,,,,,
is,,,,,,
it,its,it\'s,,,,
itself,,,,,,
jar,jars,,,,,
joke,jokes,joked,,,,
joy,,,,,,
judgement,judgment,judgements,judgments,,,
junk,,,,,,
justice,justis,,,,,
keeping,,,,,,
kick,kik,kicks,kiks,,,
knock,nock,knocks,nocks,knocked,nocked,
knowing,,,,,,
known,nown,,,,,
ladder,ladders,,,,,
lake,lakes,,,,,
lamp,lamps,,,,,
land,lands,landed,,,,
leading,leeding,,,,,
league,leage,leegue,leagues,leegues,leages,
leaking,leeking,,,,,
learn,lern,learned,,,,
lease,leese,leased,leesed,leases,leeses,
legal,,,,,,
level,leveled,levels,,,,
license,lisence,licence,lisense,,,
lie,lied,,,,,
listen,lisen,listened,,,,
load,lode,loads,loaded,,,
local,locals,,,,,
locking,,,,,,
longer,,,,,,
machine,machines,mashines,mashine,,,
maintain,maintained,maintains,,,,
major,majored,majors,,,,
mark,marked,marks,,,,
mate,mates,,,,,
matter,matters,maters,mater,,,
may,,,,,,
mean,,,,,,
measure,mesure,measured,measures,mesures,,
meeting,,,,,,
member,members,,,,,
metal,metals,,,,,
middle,midle,,,,,
might,mite,,,,,
mind,minds,minded,,,,
minor,miner,minored,minered,,,
mistake,mistakes,,,,,
mister,mr,,,,,
mode,modes,,,,,
model,modle,models,modeled,modal,,
modern,,,,,,
moment,moments,,,,,
money,,,,,,
moon,mune,,,,,
morning,mourning,,,,,
motion,mowtion,motioned,motions,,,
music,musick,,,,,
name,named,names,,,,
narrow,narow,narrowed,narrows,,,
nature,nachure,,,,,
near,neer,,,,,
normal,,,,,,
note,notes,noted,,,,
notice,notiss,noticed,notices,,,
now,,,,,,
object,objected,objects,,,,
obtain,obtaine,obtained,obtains,,,
of,,,,,,
office,,,,,,
older,,,,,,
or,,,,,,
order,orders,,,,,
other,others,,,,,
owner,owners,,,,,
page,paige,pages,paiges,,,
pain,pane,pained,,,,
paint,painted,,,,,
paper,papers,,,,,
passing,,,,,,
patient,patients,,,,,
pattern,patern,patterns,paterns,patterned,paterned,
people,peeple,peoples,,,,
perceive,percieve,perceived,percieved,,,
percent,persent,,,,,
perfect,perfects,,,,,
perhaps,,,,,,
permit,permits,,,,,
phone,fone,phones,phoned,,,
pick,picked,picks,pik,,,
pill,pills,,,,,
pilot,pilots,,,,,
plan,plans,planned,,,,
plant,plants,,,,,
please,pleese,,,,,
pleasure,plesure,pleasured,plesured,pleasures,,
plenty,plenti,,,,,
plus,,,,,,
pooling,,,,,,
poster,posters,,,,,
power,powers,powered,,,,
presence,presense,,,,,
present,presented,presents,,,,
pressure,presure,pressures,pressured,presures,presured,
prevent,prevents,,,,,
price,priced,,,,,
print,printed,,,,,
private,privates,,,,,
process,prosessed,processed,,,,
program,programs,programme,programme,,,
prove,proves,,,,,
provide,provides,,,,,
pure,,,,,,
pursue,pursued,persued,,,,
push,pushed,,,,,
question,questions,questioned,,,,
rampant,,,,,,
rather,,,,,,
reason,reeson,reasoned,reesoned,reasons,reesons,
recall,recal,recalled,recalls,recals,,
reduce,reduced,,,,,
refer,reffer,refered,reffered,,,
refuse,refused,,,,,
regard,regards,reguards,reguard,,,
relief,releif,,,,,
remain,remains,,,,,
remove,removes,removed,,,,
repeat,repeats,repeets,,,,
reply,,,,,,
report,reports,reported,,,,
require,requires,required,,,,
research,reserch,researched,,,,
reserve,reserved,reserves,,,,
respect,respected,repects,,,,
resting,wresting,,,,,
restrain,restrained,restraned,restrane,,,
result,results,resulted,,,,
retreat,retreet,retreated,retreeted,retreats,retreets,
return,returned,returns,,,,
review,reveiwed,reviewed,,,,
rhythm,rhthm,rythm,rythym,rhythms,,
rising,,,,,,
risk,risked,risks,,,,
road,roads,rodes,rode,,,
roar,roared,,,,,
rocking,,,,,,
rode,road,roads,rodes,,,
round,rounded,rounds,,,,
rowing,,,,,,
rule,rules,rulz,,,,
runner,runners,runers,,,,
sad,,,,,,
same,,,,,,
sample,samples,,,,,
sat,,,,,,
scale,skale,sclaes,skales,,,
season,seeson,seasoned,seasons,seesoned,seesons,
seat,seet,seets,seats,seated,seeted,
section,sectoned,sectioned,,,,
secure,sekure,,,,,
sedate,cedate,,,,,
seed,cede,seeds,ceeds,seeded,ceeded,
sent,cent,scent,,,,
setting,,,,,,
sheet,sheat,sheets,sheats,,,
shelter,shelters,,,,,
showing,,,,,,
sight,site,sights,sites,sighted,sited,
signal,signals,signaled,,,,
sincere,sinsere,,,,,
single,,,,,,
sinking,syncing,,,,,
sofa,sopha,sofas,sophas,,,
something,,,,,,
song,songs,,,,,
sort,sorts,sorted,,,,
sound,sounds,sounded,,,,
sparkle,sparkel,sparkled,sparkles,,,
speaking,speeking,,,,,
special,speshul,,,,,
spent,,,,,,
spoke,,,,,,
spot,spots,spoted,,,,
stable,stabel,,,,,
stake,steak,,,,,
station,stations,stationed,,,,
stone,stones,,,,,
stood,,,,,,
stories,,,,,,
street,streets,,,,,
strong,,,,,,
student,students,,,,,
submit,submits,submited,submitted,,,
success,sucess,succes,sucses,,,
such,,,,,,
suggest,sugest,suggests,suggested,sugests,sugested,
sunken,,,,,,
supply,supplies,suplies,,,,
support,suport,supports,suports,supported,suported,
surface,surfaced,,,,,
surprise,suprise,surprises,surprised,,,
sustain,sustaned,sustained,,,,
sweet,sweets,suite,,,,
symbol,cymbol,symbols,cymbols,,,
tad,,,,,,
take,,,,,,
target,targets,targeted,targetted,,,
task,tasks,,,,,
tax,tacks,taxed,,,,
teasing,teazing,teesing,,,,
technique,technik,techniques,techniks,,,
tension,tensions,,,,,
the,,,,,,
them,,,,,,
then,,,,,,
thinking,,,,,,
this,,,,,,
thought,thot,,,,,
through,threw,thru,,,,
thrown,throne,,,,,
time,tyme,times,timed,,,
to,two,too,,,,
train,trane,trained,trains,,,
transcend,transend,trancend,transcended,,,
tree,trees,treez,,,,
trend,trended,trends,,,,
troop,troops,trupes,,,,
truth,truths,,,,,
tundra,,,,,,
turn,turns,turned,,,,
type,types,tipes,tipe,,,
under,,,,,,
unique,,,,,,
unless,unles,,,,,
unseen,,,,,,
use,used,,,,,
useful,usefull,,,,,
value,values,valued,,,,
vital,vitil,vitals,,,,
wage,wages,,,,,
wagon,wagons,,,,,
wait,weight,,,,,
walker,walkers,,,,,
want,wanted,,,,,
was,,,,,,
weather,whether,weathered,whethered,,,
wheel,wheels,,,,,
who,,,,,,
willing,,,,,,
wish,,,,,,
with,,,,,,
without,,,,,,
wonder,wondor,wondered,wondored,,,
world,worlds,,,,,
wrist,rist,,,,,
year,years,,,,,